user_id,conversion_type,value,time_to_convert
2878,Signup,75.89,1155
4482,AddToCart,64.41,22
7625,Signup,81.19,471
9359,Purchase,77.57,408
5924,Purchase,7.08,437
4031,AddToCart,44.27,20
1343,Purchase,79.98,1025
6067,AddToCart,39.94,1224
3203,Purchase,50.74,820
7028,AddToCart,79.47,573
4213,Signup,73.74,42
2799,AddToCart,18.79,498
8810,Signup,59.52,1431
2934,Signup,98.16,28
2767,Signup,20.99,81
1798,Signup,77.59,350
9283,Signup,81.7,1016
5745,Signup,11.39,35
8871,Purchase,95.24,638
9909,Purchase,29.42,233
3209,AddToCart,87.88,1311
390,Signup,12.26,1339
5639,Purchase,71.54,850
7598,AddToCart,18.85,1286
1068,AddToCart,89.29,1144
7916,AddToCart,74.95,603
3318,AddToCart,8.23,680
9254,Purchase,70.99,134
9447,AddToCart,54.84,771
4361,Signup,35.77,324
141,Purchase,42.19,252
1371,AddToCart,52.72,110
6781,Purchase,64.19,1023
9722,Signup,29.04,750
4988,Signup,34.62,503
8791,Purchase,56.83,1396
9142,Purchase,96.7,962
5740,AddToCart,41.59,204
4163,AddToCart,80.73,876
1400,Signup,24.22,927
5855,AddToCart,8.84,1252
6859,Purchase,78.18,225
525,AddToCart,90.71,888
5281,Purchase,84.06,476
7443,Purchase,9.89,1043
3421,Purchase,67.98,79
9762,AddToCart,46.46,1049
3356,Signup,38.71,1029
9741,AddToCart,62.48,1091
1973,AddToCart,79.39,60
387,AddToCart,46.81,1005
8824,Signup,29.8,506
4012,AddToCart,14.91,1178
1836,Signup,45.83,769
3764,Signup,37.46,31
1687,Purchase,61.74,871
8263,Purchase,11.49,1335
1964,Purchase,56.93,663
97,Purchase,84.54,461
8829,Purchase,87.51,1151
1431,Purchase,56.34,181
7334,Signup,73.82,509
832,AddToCart,84.1,1343
801,Signup,82.07,182
4361,Signup,24.69,664
2179,Purchase,31.47,696
7680,AddToCart,81.02,596
3147,Signup,49.97,42
1457,Purchase,16.45,424
9464,Purchase,82.92,32
3603,AddToCart,73.67,1196
1958,Signup,90.6,10
8065,Purchase,29.72,514
1656,AddToCart,25.73,734
3277,Signup,90.93,459
5025,Signup,83.82,1163
5317,Signup,56.88,1229
9459,AddToCart,66.98,675
8581,Signup,36.97,236
8534,Signup,80.84,12
2037,AddToCart,61.88,639
6337,Signup,55.9,1313
2007,Purchase,6.89,985
1394,Purchase,44.12,1197
8835,AddToCart,78.87,1289
5773,AddToCart,51.79,1099
8832,AddToCart,51.08,243
9899,Purchase,43.71,1007
548,Purchase,28.98,555
2600,AddToCart,60.49,206
6780,AddToCart,52.85,53
381,Purchase,14.44,597
8156,Signup,54.46,814
7119,AddToCart,70.38,1355
8713,Signup,29.0,1254
4548,AddToCart,50.58,326
1144,AddToCart,44.08,481
2985,Signup,48.12,1284
4324,Signup,36.38,1245
8929,Signup,20.18,1237
4579,Purchase,45.11,463
6212,AddToCart,23.56,19
4910,Purchase,77.36,1115
4889,AddToCart,7.0,150
6565,AddToCart,76.46,519
9474,AddToCart,64.32,838
3152,Signup,85.73,389
7967,AddToCart,62.29,11
7572,Purchase,88.32,1342
4872,AddToCart,98.04,1316
4284,AddToCart,65.37,855
7055,Purchase,15.67,674
6106,Purchase,32.77,1126
1099,Signup,72.89,26
2871,Signup,9.7,262
4808,Purchase,73.34,640
3037,Purchase,18.23,802
6164,Purchase,97.9,27
1295,AddToCart,27.02,726
6663,Signup,6.23,1010
6088,Signup,95.4,1171
1072,Purchase,56.88,994
6093,Signup,17.22,1306
6666,AddToCart,93.92,416
703,Signup,15.82,816
1860,Purchase,36.75,604
9297,Purchase,96.57,911
3928,AddToCart,78.73,221
7894,Purchase,65.81,755
2646,Purchase,81.6,1378
5665,Purchase,43.17,1355
5488,Purchase,93.21,184
3892,Purchase,72.67,184
1746,Purchase,61.97,1074
2453,AddToCart,64.43,614
9070,Signup,16.45,1252
9259,AddToCart,10.59,651
7295,AddToCart,36.62,94
3470,Purchase,70.5,983
9772,Purchase,11.49,774
5444,Signup,54.25,1087
4902,AddToCart,53.7,1413
4196,Signup,56.23,353
4314,AddToCart,82.61,483
9478,Signup,68.8,1045
4305,AddToCart,32.98,1120
3813,Purchase,22.49,1235
6697,AddToCart,15.51,262
1266,Signup,9.78,983
185,Purchase,73.22,871
3116,Purchase,15.64,1237
4274,Purchase,60.96,12
7673,Purchase,75.25,114
4658,Signup,83.61,321
3230,Signup,34.14,798
4228,Purchase,78.52,183
9081,Purchase,86.59,1237
3156,Signup,94.66,292
7248,AddToCart,13.97,1409
9311,Signup,88.91,1417
1462,AddToCart,51.95,119
4205,Purchase,5.48,224
6123,Signup,92.21,835
4485,AddToCart,64.61,1384
5325,Signup,70.79,435
1282,Purchase,96.42,181
8000,Signup,18.79,1196
3329,Purchase,30.54,1094
6265,AddToCart,70.23,1205
9690,Purchase,90.49,514
4022,Purchase,64.95,1269
67,Purchase,88.91,998
8626,AddToCart,99.27,983
4787,Signup,94.85,374
8731,Purchase,88.06,911
4993,Signup,76.37,612
7486,AddToCart,81.78,664
2601,AddToCart,99.52,550
3647,Signup,99.43,1343
6227,Purchase,71.47,1165
8410,AddToCart,62.93,387
3417,Signup,6.54,441
1021,Signup,90.04,272
7827,Signup,20.78,1416
3548,Signup,96.79,9
3991,AddToCart,74.95,132
277,Signup,18.65,1041
7714,Purchase,23.21,956
8816,Signup,40.14,519
9884,Signup,29.83,523
1968,AddToCart,80.37,118
2621,AddToCart,15.47,1428
8341,Purchase,11.5,1200
6131,AddToCart,7.5,276
868,Signup,47.36,6
5007,AddToCart,61.5,292
1708,Purchase,71.33,1286
8399,AddToCart,77.03,888
8325,Signup,66.1,1361
7103,Signup,55.49,1060
4276,Purchase,63.63,215
6770,Signup,59.34,6
8149,Purchase,10.25,1199
161,Purchase,63.64,964
7985,AddToCart,63.54,827
3906,Purchase,94.09,1256
3638,Signup,78.56,810
2880,AddToCart,56.03,656
7038,Purchase,50.37,881
9676,AddToCart,82.95,274
3656,Signup,25.14,137
5425,Purchase,6.69,421
8550,Purchase,64.27,136
2840,AddToCart,25.84,1309
6594,Purchase,11.48,1204
4628,Signup,56.05,337
7779,Signup,69.0,93
1289,Signup,61.02,442
5600,AddToCart,73.25,764
4341,Purchase,23.92,1103
8527,Signup,81.43,853
1775,Purchase,86.12,828
2175,Signup,74.62,600
9329,AddToCart,48.93,350
6713,Purchase,57.18,210
8347,AddToCart,30.47,1402
6059,AddToCart,29.88,1209
1080,Purchase,51.65,1338
3069,AddToCart,35.39,1227
279,Signup,35.49,3
6590,AddToCart,66.67,1186
8,Purchase,76.35,615
3492,AddToCart,58.21,1390
1256,AddToCart,52.86,1019
4298,Signup,37.72,6
5349,AddToCart,17.0,791
8438,AddToCart,28.8,974
8294,AddToCart,28.85,1217
2145,Signup,13.4,853
7082,Purchase,74.75,522
