user_id,age_group,region,device_type
1,45-54,APAC,Mobile
2,55+,APAC,Tablet
3,35-44,Americas,Desktop
4,55+,EMEA,Mobile
5,55+,Americas,Desktop
6,25-34,EMEA,Tablet
7,35-44,EMEA,Mobile
8,35-44,Americas,Tablet
9,35-44,EMEA,Mobile
10,55+,APAC,Desktop
11,45-54,APAC,Tablet
12,35-44,EMEA,Mobile
13,55+,APAC,Mobile
14,25-34,Americas,Desktop
15,45-54,APAC,Tablet
16,25-34,EMEA,Tablet
17,45-54,Americas,Tablet
18,55+,APAC,Desktop
19,18-24,Americas,Mobile
20,45-54,EMEA,Mobile
21,25-34,APAC,Tablet
22,55+,Americas,Mobile
23,45-54,Americas,Tablet
24,18-24,APAC,Desktop
25,18-24,Americas,Desktop
26,35-44,Americas,Desktop
27,35-44,EMEA,Tablet
28,25-34,EMEA,Mobile
29,45-54,EMEA,Desktop
30,45-54,EMEA,Tablet
31,35-44,EMEA,Tablet
32,45-54,EMEA,Desktop
33,45-54,APAC,Desktop
34,18-24,EMEA,Desktop
35,35-44,Americas,Mobile
36,55+,APAC,Mobile
37,35-44,Americas,Tablet
38,55+,EMEA,Desktop
39,18-24,EMEA,Desktop
40,25-34,Americas,Mobile
41,45-54,Americas,Desktop
42,18-24,Americas,Tablet
43,45-54,APAC,Desktop
44,25-34,EMEA,Mobile
45,25-34,Americas,Tablet
46,18-24,EMEA,Tablet
47,25-34,Americas,Desktop
48,55+,EMEA,Tablet
49,25-34,APAC,Desktop
50,45-54,EMEA,Desktop
51,45-54,Americas,Mobile
52,45-54,EMEA,Tablet
53,45-54,APAC,Desktop
54,55+,APAC,Desktop
55,35-44,EMEA,Desktop
56,18-24,Americas,Tablet
57,45-54,APAC,Tablet
58,25-34,APAC,Tablet
59,45-54,EMEA,Desktop
60,25-34,APAC,Tablet
61,25-34,APAC,Desktop
62,45-54,Americas,Tablet
63,55+,Americas,Tablet
64,25-34,Americas,Desktop
65,25-34,EMEA,Tablet
66,45-54,APAC,Desktop
67,25-34,EMEA,Tablet
68,25-34,APAC,Tablet
69,45-54,APAC,Tablet
70,45-54,APAC,Tablet
71,18-24,Americas,Mobile
72,55+,EMEA,Desktop
73,55+,EMEA,Mobile
74,25-34,APAC,Tablet
75,55+,EMEA,Tablet
76,25-34,Americas,Desktop
77,18-24,EMEA,Desktop
78,45-54,APAC,Desktop
79,45-54,Americas,Desktop
80,45-54,Americas,Tablet
81,55+,APAC,Desktop
82,18-24,EMEA,Mobile
83,55+,APAC,Desktop
84,55+,EMEA,Desktop
85,18-24,EMEA,Mobile
86,18-24,Americas,Mobile
87,18-24,APAC,Mobile
88,18-24,Americas,Mobile
89,45-54,APAC,Desktop
90,35-44,APAC,Mobile
91,35-44,Americas,Tablet
92,18-24,APAC,Desktop
93,35-44,APAC,Tablet
94,35-44,EMEA,Desktop
95,18-24,APAC,Desktop
96,35-44,APAC,Tablet
97,55+,Americas,Mobile
98,25-34,Americas,Mobile
99,25-34,APAC,Tablet
100,18-24,EMEA,Mobile
101,45-54,EMEA,Desktop
102,18-24,Americas,Desktop
103,45-54,APAC,Desktop
104,25-34,APAC,Mobile
105,18-24,EMEA,Mobile
106,55+,EMEA,Tablet
107,35-44,EMEA,Desktop
108,45-54,Americas,Tablet
109,35-44,APAC,Mobile
110,35-44,Americas,Tablet
111,18-24,APAC,Mobile
112,35-44,Americas,Desktop
113,55+,APAC,Desktop
114,35-44,EMEA,Mobile
115,18-24,EMEA,Mobile
116,55+,EMEA,Mobile
117,25-34,Americas,Desktop
118,35-44,EMEA,Mobile
119,18-24,APAC,Desktop
120,25-34,Americas,Tablet
121,25-34,APAC,Desktop
122,45-54,Americas,Tablet
123,55+,APAC,Desktop
124,35-44,APAC,Desktop
125,18-24,Americas,Mobile
126,45-54,Americas,Desktop
127,55+,EMEA,Mobile
128,45-54,EMEA,Mobile
129,55+,APAC,Mobile
130,55+,APAC,Desktop
131,35-44,APAC,Mobile
132,55+,Americas,Tablet
133,45-54,Americas,Tablet
134,55+,EMEA,Desktop
135,35-44,APAC,Mobile
136,35-44,EMEA,Tablet
137,45-54,Americas,Desktop
138,25-34,Americas,Desktop
139,25-34,Americas,Desktop
140,55+,EMEA,Desktop
141,18-24,Americas,Desktop
142,55+,APAC,Mobile
143,45-54,EMEA,Mobile
144,45-54,Americas,Mobile
145,45-54,EMEA,Mobile
146,45-54,EMEA,Desktop
147,45-54,Americas,Desktop
148,35-44,Americas,Tablet
149,25-34,EMEA,Tablet
150,45-54,EMEA,Mobile
151,18-24,Americas,Desktop
152,18-24,APAC,Tablet
153,18-24,EMEA,Tablet
154,18-24,EMEA,Tablet
155,35-44,APAC,Tablet
156,18-24,Americas,Mobile
157,45-54,Americas,Desktop
158,55+,APAC,Mobile
159,18-24,Americas,Tablet
160,35-44,Americas,Tablet
161,35-44,EMEA,Desktop
162,18-24,EMEA,Desktop
163,55+,EMEA,Mobile
164,18-24,APAC,Desktop
165,35-44,Americas,Mobile
166,25-34,Americas,Mobile
167,45-54,EMEA,Tablet
168,35-44,EMEA,Mobile
169,18-24,APAC,Tablet
170,45-54,Americas,Mobile
171,18-24,APAC,Mobile
172,18-24,Americas,Desktop
173,25-34,APAC,Desktop
174,45-54,EMEA,Tablet
175,45-54,APAC,Desktop
176,25-34,APAC,Mobile
177,35-44,EMEA,Tablet
178,18-24,Americas,Tablet
179,55+,Americas,Tablet
180,18-24,EMEA,Mobile
181,18-24,APAC,Desktop
182,35-44,APAC,Tablet
183,18-24,APAC,Mobile
184,25-34,Americas,Desktop
185,25-34,APAC,Desktop
186,45-54,Americas,Tablet
187,55+,APAC,Mobile
188,18-24,EMEA,Desktop
189,18-24,EMEA,Mobile
190,35-44,Americas,Desktop
191,25-34,Americas,Tablet
192,55+,EMEA,Tablet
193,45-54,EMEA,Desktop
194,25-34,APAC,Mobile
195,45-54,EMEA,Desktop
196,35-44,Americas,Mobile
197,35-44,EMEA,Desktop
198,18-24,Americas,Tablet
199,55+,Americas,Mobile
200,45-54,APAC,Tablet
201,25-34,APAC,Mobile
202,35-44,APAC,Desktop
203,18-24,APAC,Tablet
204,18-24,EMEA,Tablet
205,45-54,APAC,Mobile
206,35-44,EMEA,Mobile
207,55+,APAC,Mobile
208,35-44,APAC,Tablet
209,45-54,Americas,Desktop
210,45-54,EMEA,Mobile
211,35-44,Americas,Desktop
212,45-54,APAC,Mobile
213,35-44,EMEA,Desktop
214,25-34,APAC,Mobile
215,35-44,Americas,Desktop
216,35-44,EMEA,Tablet
217,45-54,Americas,Mobile
218,45-54,APAC,Mobile
219,18-24,APAC,Tablet
220,18-24,APAC,Mobile
221,25-34,EMEA,Mobile
222,18-24,Americas,Tablet
223,35-44,Americas,Tablet
224,45-54,APAC,Desktop
225,18-24,Americas,Tablet
226,18-24,EMEA,Tablet
227,25-34,APAC,Mobile
228,25-34,APAC,Tablet
229,35-44,APAC,Mobile
230,45-54,EMEA,Tablet
231,25-34,APAC,Tablet
232,18-24,APAC,Desktop
233,45-54,APAC,Tablet
234,45-54,APAC,Tablet
235,18-24,Americas,Mobile
236,25-34,APAC,Mobile
237,18-24,EMEA,Desktop
238,45-54,APAC,Tablet
239,55+,APAC,Mobile
240,55+,Americas,Tablet
241,35-44,APAC,Desktop
242,18-24,Americas,Mobile
243,18-24,EMEA,Mobile
244,35-44,Americas,Desktop
245,35-44,APAC,Tablet
246,35-44,EMEA,Mobile
247,45-54,APAC,Mobile
248,18-24,Americas,Desktop
249,45-54,EMEA,Desktop
250,35-44,EMEA,Desktop
251,18-24,Americas,Tablet
252,45-54,Americas,Tablet
253,45-54,EMEA,Tablet
254,35-44,EMEA,Desktop
